datumi,slucajevi,smrti
2019-12-31,27,0
2020-01-01,0,0
2020-01-02,0,0
2020-01-03,17,0
2020-01-04,0,0
2020-01-05,15,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,1
2020-01-12,0,0
2020-01-13,1,0
2020-01-14,0,0
2020-01-15,1,1
2020-01-16,0,0
2020-01-17,5,0
2020-01-18,17,0
2020-01-19,136,1
2020-01-20,20,0
2020-01-21,153,3
2020-01-22,142,11
2020-01-23,97,0
2020-01-24,266,9
2020-01-25,453,15
2020-01-26,673,15
2020-01-27,797,25
2020-01-28,1767,25
2020-01-29,1480,26
2020-01-30,1756,38
2020-01-31,2003,43
2020-02-01,2120,46
2020-02-02,2608,46
2020-02-03,2818,57
2020-02-04,3243,65
2020-02-05,3907,66
2020-02-06,3751,72
2020-02-07,3218,73
2020-02-08,3442,86
2020-02-09,2619,89
2020-02-10,2988,97
2020-02-11,2565,108
2020-02-12,2072,97
2020-02-13,15151,255
2020-02-14,4215,13
2020-02-15,2560,144
2020-02-16,2162,142
2020-02-17,2067,106
2020-02-18,1995,98
2020-02-19,1864,139
2020-02-20,532,116
2020-02-21,996,119
2020-02-22,1085,112
2020-02-23,1008,104
2020-02-24,527,156
2020-02-25,793,79
2020-02-26,865,64
2020-02-27,1109,38
2020-02-28,1269,57
2020-02-29,1848,64
2020-03-01,1819,58
2020-03-02,2079,67
2020-03-03,1822,72
2020-03-04,2250,84
2020-03-05,2271,80
2020-03-06,2978,102
2020-03-07,4082,104
2020-03-08,3964,97
2020-03-09,4145,228
2020-03-10,4698,208
2020-03-11,4919,272
2020-03-12,7535,326
2020-03-13,9021,349
2020-03-14,9869,439
2020-03-15,12133,361
2020-03-16,12357,746
2020-03-17,13740,598
2020-03-18,16458,800
2020-03-19,19809,942
2020-03-20,30370,1043
2020-03-21,31353,1369
2020-03-22,34047,1700
2020-03-23,34000,1641
2020-03-24,42895,1780
2020-03-25,40886,2264
2020-03-26,52224,2573
2020-03-27,60350,2749
2020-03-28,64335,3422
2020-03-29,63265,3493
2020-03-30,57810,3129
2020-03-31,63561,3894
2020-04-01,72599,4629
2020-04-02,76757,4907
2020-04-03,76742,4956
2020-04-04,80948,6631
2020-04-05,84992,6145
2020-04-06,68935,4675
2020-04-07,72335,5266
2020-04-08,74990,7663
2020-04-09,84479,6436
2020-04-10,85805,7445
2020-04-11,89320,7221
2020-04-12,80770,6026
2020-04-13,71254,5266
2020-04-14,66017,5371
2020-04-15,76602,7604
2020-04-16,79748,10520
2020-04-17,82962,8709
2020-04-18,81894,8568
2020-04-19,79741,6493
2020-04-20,72143,5036
2020-04-21,75960,5336
2020-04-22,85730,7284
2020-04-23,66288,6103
2020-04-24,77434,7444
2020-04-25,72868,5432
2020-04-26,101445,6246
2020-04-27,83056,3928
2020-04-28,65782,4890
2020-04-29,71565,6518
2020-04-30,77806,6671
2020-05-01,84586,5534
2020-05-02,91742,5838
2020-05-03,81169,4769
2020-05-04,78509,3687
2020-05-05,77160,3999
2020-05-06,79187,5952
2020-05-07,89826,6386
2020-05-08,94185,5748
2020-05-09,90139,5268
2020-05-10,90156,4440
2020-05-11,76989,3410
2020-05-12,71032,3569
2020-05-13,85786,5766
2020-05-14,85108,6984
